PERMNO,date,RETX
10145,01/04/1993,-0.002066
10145,01/05/1993,-0.012422
10145,01/06/1993,-0.006289
10145,01/07/1993,-0.021097
10145,01/08/1993,0.000000
10145,01/11/1993,0.015086
10145,01/12/1993,0.004246
10145,01/13/1993,-0.019027
10145,01/14/1993,-0.006466
10145,01/15/1993,0.004338
10145,01/18/1993,0.028078
10145,01/19/1993,-0.004202
10145,01/20/1993,0.002110
10145,01/21/1993,-0.004211
10145,01/22/1993,-0.023256
10145,01/25/1993,0.008658
10145,01/26/1993,0.027897
10145,01/27/1993,-0.008351
10145,01/28/1993,-0.012632
10145,01/29/1993,-0.017058
10145,02/01/1993,0.013015
10145,02/02/1993,0.010707
10145,02/03/1993,0.048729
10145,02/04/1993,0.056566
10145,02/05/1993,0.009560
10145,02/08/1993,-0.022727
10145,02/09/1993,-0.019380
10145,02/10/1993,0.015810
10145,02/11/1993,0.040856
10145,02/12/1993,-0.033645
10145,02/16/1993,-0.005803
10145,02/17/1993,0.009728
10145,02/18/1993,-0.011561
10145,02/19/1993,0.001949
10145,02/22/1993,0.013619
10145,02/23/1993,-0.005758
10145,02/24/1993,0.009653
10145,02/25/1993,0.013384
10145,02/26/1993,-0.005660
10145,03/01/1993,-0.013283
10145,03/02/1993,0.009615
10145,03/03/1993,0.032381
10145,03/04/1993,-0.014760
10145,03/05/1993,-0.007491
10145,03/08/1993,0.009434
10145,03/09/1993,0.003738
10145,03/10/1993,-0.005587
10145,03/11/1993,0.007491
10145,03/12/1993,-0.005576
10145,03/15/1993,0.011215
10145,03/16/1993,0.003697
10145,03/17/1993,-0.007366
10145,03/18/1993,0.016698
10145,03/19/1993,-0.007299
10145,03/22/1993,-0.001838
10145,03/23/1993,0.014733
10145,03/24/1993,-0.003630
10145,03/25/1993,-0.001821
10145,03/26/1993,-0.009124
10145,03/29/1993,-0.012891
10145,03/30/1993,0.000000
10145,03/31/1993,-0.005597
10145,04/01/1993,0.001876
10145,04/02/1993,-0.022472
10145,04/05/1993,-0.003831
10145,04/06/1993,-0.026923
10145,04/07/1993,0.021739
10145,04/08/1993,0.005803
10145,04/12/1993,0.007692
10145,04/13/1993,0.022901
10145,04/14/1993,0.011194
10145,04/15/1993,0.012915
10145,04/16/1993,0.023679
10145,04/19/1993,-0.017794
10145,04/20/1993,-0.018116
10145,04/21/1993,-0.020295
10145,04/22/1993,-0.024482
10145,04/23/1993,0.023166
10145,04/26/1993,-0.039623
10145,04/27/1993,-0.015717
10145,04/28/1993,-0.005988
10145,04/29/1993,0.020080
10145,04/30/1993,0.027559
10145,05/03/1993,-0.003831
10145,05/04/1993,-0.007692
10145,05/05/1993,0.009690
10145,05/06/1993,-0.013436
10145,05/07/1993,-0.021401
10145,05/10/1993,0.001988
10145,05/11/1993,0.007937
10145,05/12/1993,0.007874
10145,05/13/1993,-0.005859
10145,05/14/1993,0.007859
10145,05/17/1993,0.001949
10145,05/18/1993,-0.001946
10145,05/19/1993,0.021442
10145,05/20/1993,0.005725
10145,05/21/1993,0.003795
10145,05/24/1993,0.001890
10145,05/25/1993,0.007547
10145,05/26/1993,0.003745
10145,05/27/1993,0.000000
10145,05/28/1993,-0.003731
10145,06/01/1993,-0.009363
10145,06/02/1993,-0.005671
10145,06/03/1993,-0.003802
10145,06/04/1993,0.001908
10145,06/07/1993,0.009524
10145,06/08/1993,-0.001887
10145,06/09/1993,0.000000
10145,06/10/1993,0.015123
10145,06/11/1993,0.000000
10145,06/14/1993,0.000000
10145,06/15/1993,0.000000
10145,06/16/1993,-0.005587
10145,06/17/1993,-0.020599
10145,06/18/1993,-0.001912
10145,06/21/1993,0.024904
10145,06/22/1993,-0.013084
10145,06/23/1993,0.000000
10145,06/24/1993,0.007576
10145,06/25/1993,-0.007519
10145,06/28/1993,0.047348
10145,06/29/1993,-0.021700
10145,06/30/1993,-0.012939
10145,07/01/1993,-0.013109
10145,07/02/1993,-0.005693
10145,07/06/1993,-0.019084
10145,07/07/1993,0.023346
10145,07/08/1993,0.009506
10145,07/09/1993,0.000000
10145,07/12/1993,0.000000
10145,07/13/1993,0.003766
10145,07/14/1993,0.009381
10145,07/15/1993,0.011152
10145,07/16/1993,0.009191
10145,07/19/1993,0.010929
10145,07/20/1993,0.003604
10145,07/21/1993,0.001795
10145,07/22/1993,-0.010753
10145,07/23/1993,0.000000
